,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,76.37,82.18,79.97,80.30,80.30,80.48,81.05,80.90,87.17,87.69,87.22
STTC,70.58,71.06,71.60,72.74,72.87,77.22,76.56,73.51,80.55,79.11,78.51
AMI,73.36,77.36,80.31,86.63,88.08,81.92,73.00,75.09,87.93,88.18,88.11
IMI,63.59,85.12,63.23,65.02,67.40,68.41,71.38,75.61,84.27,86.90,86.37
LAFB/LPFB,75.09,92.33,74.72,75.00,73.14,78.15,82.98,85.82,92.40,91.55,91.34
IRBBB,74.94,73.66,89.90,81.35,72.15,71.10,70.79,70.74,90.79,90.30,88.74
LVH,82.83,81.39,85.30,83.03,85.42,87.13,84.64,86.56,85.50,86.50,86.38
CLBBB,97.24,98.60,98.58,98.32,97.06,97.17,97.40,98.79,98.95,98.58,98.21
NST_,70.17,73.02,68.59,69.48,70.34,71.69,77.37,75.09,76.84,76.24,75.90
ISCA,77.75,79.54,78.38,75.75,77.27,77.84,79.49,79.45,80.15,81.55,79.52
CRBBB,96.20,97.31,98.55,97.52,97.12,96.65,96.53,97.04,98.28,98.20,98.03
IVCD,68.76,74.01,79.48,73.90,75.03,72.55,73.22,75.78,81.25,83.48,74.82
ISC_,87.24,85.45,85.86,83.77,83.49,85.79,88.39,89.08,89.23,88.77,88.52
_AVB,81.19,85.31,82.84,81.54,81.92,82.12,82.50,82.05,83.09,82.52,83.58
ISCI,56.93,79.74,62.43,66.53,64.70,68.14,79.64,74.53,82.46,85.05,83.70
WPW,93.32,91.06,91.26,91.21,92.60,90.68,90.96,88.52,88.91,89.55,86.87
LAO/LAE,70.46,71.81,70.54,66.70,65.70,69.38,72.73,70.93,71.19,71.33,73.16
ILBBB,94.51,94.70,93.68,93.50,91.37,93.42,93.41,91.18,89.27,90.19,85.20
RAO/RAE,81.96,90.22,79.09,79.16,85.75,86.29,86.03,82.37,86.07,89.48,85.39
LMI,97.54,99.23,97.41,98.40,98.53,98.74,98.78,99.18,96.23,98.08,91.88
Average,79.50,84.15,81.59,80.99,81.01,81.74,82.84,82.61,86.53,87.16,85.57
