,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,90.37,93.79,90.31,90.28,91.77,92.81,92.22,91.98,93.55,93.74,93.25
STTC,78.34,83.75,78.42,82.25,83.80,83.10,85.35,85.43,84.40,86.32,85.52
AMI,80.96,81.03,86.36,90.88,88.34,83.92,84.71,84.98,92.91,93.06,91.82
IMI,70.97,88.61,76.85,73.87,73.79,74.79,76.74,76.21,88.71,90.95,91.15
LAFB/LPFB,70.44,94.94,78.63,73.59,75.94,79.01,81.18,82.21,95.26,95.30,93.99
IRBBB,62.91,70.76,92.21,86.19,68.14,69.07,69.50,75.32,91.61,91.83,90.16
LVH,82.46,84.02,84.55,84.53,83.45,83.92,87.58,88.73,89.78,88.73,91.19
CLBBB,95.89,96.04,96.52,96.59,97.04,96.74,97.04,96.19,96.11,95.70,96.00
NST_,87.22,88.47,88.04,88.75,86.12,84.75,83.41,84.67,87.69,88.35,87.29
ISCA,86.80,86.08,87.15,90.61,91.84,91.15,85.87,83.68,92.00,91.01,88.75
CRBBB,95.59,96.59,98.15,97.30,95.63,96.11,96.56,96.22,98.00,98.00,97.70
IVCD,60.12,64.51,58.15,64.42,59.01,59.43,58.06,57.91,61.82,59.85,69.70
ISC_,81.17,87.95,84.92,85.24,86.04,89.08,90.99,91.06,90.04,90.30,90.14
_AVB,91.37,93.12,90.76,92.37,91.98,92.02,93.00,93.22,93.17,92.34,90.83
ISCI,78.96,88.59,74.52,76.15,81.11,79.56,71.19,73.78,88.37,89.33,83.70
WPW,69.43,65.71,69.43,61.43,65.71,68.00,65.14,64.00,73.71,76.00,73.43
LAO/LAE,81.26,89.63,85.19,82.81,83.56,83.63,80.81,80.37,78.74,81.33,75.33
ILBBB,75.00,75.00,74.50,75.25,70.75,75.75,76.00,75.50,75.00,73.75,69.50
RAO/RAE,69.25,85.50,77.75,73.00,63.75,73.50,73.75,75.25,80.75,74.00,78.50
LMI,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.00
Average,78.76,84.04,81.95,81.61,80.22,81.15,80.79,81.17,85.91,85.83,85.20
