,GeorgiaRefinementAll/D1,GeorgiaRefinementAll/D1-D2,GeorgiaRefinementAll/12leads
IAVB,93.81,95.30,94.84
AF,86.24,89.42,89.35
AFL,81.47,83.09,85.21
CRBBB,95.67,96.34,97.61
IRBBB,81.36,87.15,95.22
LAnFB,74.64,96.82,96.33
LAD,71.17,96.61,96.31
LBBB,98.97,98.83,98.78
LQRSV,79.77,87.97,93.73
NSIVCB,75.58,80.22,87.62
PAC,63.20,64.83,66.46
LQT,77.96,80.02,85.25
QAb,71.60,79.49,86.47
RAD,91.02,92.53,96.17
SA,68.56,71.40,68.48
SB,96.37,96.81,96.96
SNR,87.12,89.66,91.66
STach,97.68,97.66,97.54
TAb,80.92,84.97,88.37
TInv,65.35,68.07,67.85
VPB,76.41,78.33,80.20
Average,81.66,86.45,88.59
